F/H,sector,total_area(sqft),bedRoom,bathroom,balcony,agePossession,furnishing_type,additional_room_count,luxury_cat,price
0,110.0,2367,3,3,2,1.0,2,0.0,0.0,3.2
1,112.0,1596,2,2,2,0.0,0,0.0,1.0,0.95
0,57.0,1935,9,9,3,3.0,2,1.0,1.0,5.3
0,39.0,2518,9,9,3,3.0,2,1.0,0.0,5.7
1,43.0,791,2,2,2,0.0,1,0.0,1.0,0.88
1,43.0,625,2,2,2,0.0,0,0.0,1.0,0.35
1,104.0,1678,2,2,3,0.0,0,0.0,0.0,1.2
0,97.0,1700,2,2,1,0.0,0,0.0,0.0,1.4
1,82.0,1554,3,3,3,3.0,0,0.0,0.0,1.0
1,4.0,2290,3,4,3,0.0,0,1.0,1.0,1.83
1,62.0,3556,5,4,3,0.0,0,2.0,0.0,4.16
1,89.0,1620,3,3,3,3.0,0,1.0,1.0,0.98
1,3.0,362,1,2,2,2.0,0,0.0,0.0,0.3
1,94.0,2025,3,3,3,2.0,0,2.0,0.0,2.1
0,50.0,1440,3,3,2,0.0,0,0.0,0.0,3.5
1,113.0,640,3,3,1,2.0,1,0.0,1.0,0.5
1,45.0,726,2,2,2,0.0,0,0.0,1.0,0.65
0,81.0,6000,5,6,3,0.0,2,3.0,1.0,19.0
1,70.0,2200,3,3,3,3.0,0,1.0,0.0,1.7
1,96.0,1620,3,3,2,0.0,2,2.0,1.0,1.25
1,99.0,1966,3,4,3,0.0,1,1.0,1.0,2.2
1,38.0,1560,3,2,3,3.0,0,2.0,1.0,1.85
1,104.0,990,2,2,1,4.0,0,0.0,0.0,1.05
1,48.0,1986,3,3,3,2.0,0,1.0,0.0,1.44
1,106.0,1791,3,3,3,0.0,0,0.0,1.0,1.3
0,110.0,558,3,3,1,0.0,0,0.0,0.0,0.6
0,58.0,4500,5,8,3,0.0,1,4.0,1.0,17.0
1,108.0,1423,3,3,2,2.0,0,1.0,0.0,1.25
0,9.0,4500,7,5,3,0.0,0,3.0,0.0,11.25
0,57.0,2700,5,5,3,3.0,2,1.0,1.0,8.5
1,86.0,800,3,2,1,2.0,0,0.0,0.0,0.48
1,85.0,1608,3,3,2,0.0,2,1.0,1.0,1.55
1,102.0,1095,3,3,3,0.0,2,1.0,1.0,1.3
0,61.0,2340,7,7,3,3.0,2,0.0,0.0,5.0
1,106.0,1171,2,2,3,0.0,2,2.0,1.0,1.19
1,75.0,1550,2,3,2,0.0,0,1.0,1.0,2.5
0,105.0,3200,4,4,3,3.0,2,2.0,1.0,2.47
1,5.0,950,3,2,1,0.0,2,0.0,0.0,0.45
1,75.0,2019,3,4,3,3.0,2,1.0,1.0,2.65
1,41.0,1080,2,2,2,1.0,0,0.0,0.0,1.25
1,84.0,1230,2,2,2,2.0,2,0.0,1.0,1.05
1,104.0,2398,3,4,3,0.0,0,1.0,1.0,1.98
0,57.0,2034,7,7,3,3.0,0,3.0,0.0,6.25
1,108.0,1423,3,3,3,4.0,0,1.0,0.0,1.25
1,4.0,333,1,1,2,0.0,0,0.0,1.0,0.26
0,20.0,3150,6,6,3,1.0,0,1.0,0.0,6.4
0,50.0,1836,6,6,3,3.0,0,3.0,0.0,3.9
1,96.0,1572,2,2,3,0.0,0,1.0,1.0,1.34
1,79.0,567,3,2,2,4.0,0,0.0,0.0,0.42
1,105.0,1360,2,2,1,2.0,0,0.0,1.0,0.78
1,113.0,2040,4,3,3,4.0,0,2.0,1.0,1.07
1,14.0,337,1,1,1,0.0,1,0.0,1.0,0.5
1,102.0,1900,3,3,3,0.0,0,0.0,1.0,1.8
1,85.0,1250,4,4,2,0.0,0,0.0,1.0,1.92
1,113.0,1415,3,3,3,2.0,0,0.0,1.0,0.58
1,4.0,3150,4,4,3,0.0,0,1.0,1.0,2.78
1,43.0,1081,2,2,0,0.0,0,0.0,1.0,0.75
1,113.0,1556,3,2,2,0.0,0,0.0,0.0,0.75
1,99.0,598,2,2,2,0.0,2,1.0,0.0,0.45
1,113.0,1572,3,3,0,0.0,0,0.0,1.0,0.85
1,99.0,1216,2,2,3,0.0,2,0.0,1.0,0.64
1,57.0,1345,3,3,3,1.0,2,1.0,1.0,1.35
0,39.0,1500,1,1,0,3.0,0,0.0,0.0,1.0
0,110.0,900,2,3,0,1.0,0,0.0,0.0,1.65
1,103.0,2265,3,3,2,0.0,0,0.0,1.0,1.1
1,67.0,2895,3,4,3,0.0,2,3.0,0.0,5.0
1,99.0,633,2,2,1,0.0,0,0.0,0.0,0.4
1,2.0,1250,3,3,3,0.0,0,0.0,1.0,2.12
1,37.0,1760,3,4,3,3.0,1,1.0,0.0,2.2
0,90.0,4426,5,5,3,0.0,2,1.0,0.0,3.09
0,11.0,2700,6,4,2,0.0,0,0.0,0.0,3.08
1,12.0,500,2,2,1,2.0,2,0.0,0.0,0.22
1,85.0,1578,3,3,2,0.0,2,1.0,0.0,1.36
0,17.0,1105,5,5,1,1.0,0,0.0,0.0,1.35
1,42.0,1789,3,3,3,4.0,0,0.0,0.0,1.7
1,43.0,748,2,2,2,0.0,0,0.0,0.0,0.3
1,55.0,1640,3,3,2,1.0,1,0.0,1.0,2.75
0,74.0,612,3,2,1,1.0,0,0.0,0.0,0.66
1,105.0,495,2,2,1,2.0,0,4.0,1.0,0.42
1,118.0,545,2,2,1,0.0,0,0.0,1.0,0.35
0,62.0,4500,5,4,2,2.0,0,1.0,0.0,6.75
0,35.0,4500,5,7,3,0.0,1,2.0,1.0,20.0
0,71.0,1458,8,8,3,0.0,2,2.0,1.0,3.8
1,113.0,998,2,2,2,0.0,0,0.0,1.0,0.49
1,43.0,500,2,2,2,0.0,0,0.0,0.0,0.35
1,43.0,791,2,2,2,0.0,1,0.0,1.0,0.88
0,53.0,2250,3,3,2,1.0,0,0.0,0.0,3.2
0,65.0,50598,8,8,2,0.0,2,1.0,0.0,5.5
1,104.0,1322,2,2,2,0.0,0,0.0,0.0,0.69
0,61.0,2592,3,4,2,3.0,2,4.0,1.0,7.25
1,21.0,1300,4,3,3,1.0,2,0.0,1.0,1.4
1,2.0,535,2,2,1,0.0,1,0.0,1.0,0.45
1,43.0,950,2,2,2,0.0,0,0.0,0.0,0.39
1,4.0,2450,4,4,3,0.0,0,1.0,0.0,2.55
1,103.0,1750,3,3,2,0.0,0,0.0,0.0,1.01
1,32.0,1100,2,2,1,3.0,2,0.0,0.0,0.55
1,105.0,1930,3,3,3,3.0,0,2.0,1.0,1.3
1,62.0,2182,3,4,3,3.0,2,1.0,1.0,1.98
0,35.0,4466,6,7,3,2.0,2,4.0,1.0,17.3
0,20.0,2250,5,5,1,0.0,0,0.0,0.0,4.5
1,45.0,400,1,1,1,0.0,0,0.0,1.0,0.36
1,80.0,1650,3,3,3,0.0,0,2.0,0.0,2.65
1,115.0,1548,3,3,3,2.0,0,2.0,0.0,0.96
1,99.0,735,2,2,3,0.0,0,0.0,1.0,0.5
1,42.0,1000,2,2,3,4.0,0,0.0,1.0,1.2
1,113.0,2040,4,4,0,0.0,0,0.0,0.0,1.3
1,64.0,1376,3,3,2,0.0,2,1.0,1.0,1.4
1,115.0,380,1,1,1,2.0,0,0.0,0.0,0.25
1,85.0,2010,4,4,2,0.0,0,0.0,0.0,1.9
0,74.0,360,5,3,3,1.0,0,0.0,0.0,0.5
1,96.0,1295,2,2,3,2.0,0,1.0,1.0,0.78
1,113.0,2143,4,4,3,0.0,0,1.0,1.0,1.25
1,57.0,3806,4,5,3,1.0,0,0.0,0.0,6.0
1,118.0,1997,3,3,0,0.0,0,0.0,0.0,1.3
1,104.0,1240,2,2,3,0.0,0,1.0,1.0,1.2
1,51.0,3200,5,4,3,1.0,1,1.0,0.0,2.0
1,61.0,1776,3,4,2,0.0,0,2.0,1.0,1.78
1,75.0,1350,2,3,2,0.0,2,1.0,1.0,2.05
1,88.0,1925,3,3,3,0.0,0,1.0,1.0,1.8
1,35.0,2685,3,3,2,3.0,0,1.0,0.0,6.0
1,4.0,3150,4,4,3,0.0,0,1.0,1.0,2.6
1,48.0,1990,3,3,3,0.0,0,3.0,0.0,1.44
1,39.0,900,3,2,1,0.0,0,0.0,0.0,0.4
0,82.0,2250,3,3,3,3.0,0,0.0,0.0,1.85
1,85.0,1095,2,2,2,4.0,0,0.0,0.0,0.75
0,17.0,1782,8,8,0,2.0,0,0.0,0.0,1.1
1,4.0,3150,4,4,3,0.0,0,1.0,0.0,2.65
1,94.0,2025,3,3,3,2.0,2,1.0,0.0,1.79
1,43.0,484,1,1,0,0.0,0,0.0,0.0,0.21
1,8.0,1711,3,3,2,2.0,0,0.0,1.0,2.5
1,111.0,1200,3,3,3,3.0,0,1.0,1.0,1.25
1,100.0,2425,4,5,3,0.0,0,1.0,1.0,1.6
0,17.0,846,4,4,2,0.0,2,1.0,0.0,1.2
1,106.0,1307,2,2,2,0.0,0,0.0,1.0,0.95
1,42.0,1385,2,2,3,4.0,0,0.0,0.0,0.95
1,43.0,951,2,2,2,0.0,1,0.0,1.0,0.9
1,113.0,1250,3,2,2,0.0,0,0.0,1.0,0.51
1,102.0,1245,2,2,2,0.0,0,1.0,1.0,0.83
1,42.0,995,2,2,2,4.0,0,0.0,0.0,1.15
1,43.0,554,2,2,2,0.0,2,0.0,0.0,0.32
0,15.0,6382,4,6,3,2.0,2,3.0,1.0,7.99
1,7.0,750,3,2,2,0.0,0,0.0,1.0,0.6
1,45.0,392,1,1,1,0.0,0,0.0,0.0,0.4
1,87.0,1300,2,2,2,0.0,0,0.0,1.0,1.1
1,76.0,1150,2,2,2,4.0,0,0.0,0.0,1.6
1,66.0,250,1,1,0,3.0,2,0.0,0.0,0.29
1,43.0,1457,2,2,3,0.0,2,2.0,0.0,1.1
1,62.0,2159,3,4,3,3.0,0,0.0,0.0,2.7
1,4.0,2500,4,3,1,2.0,0,0.0,0.0,2.02
1,104.0,1741,2,2,3,0.0,0,0.0,0.0,1.24
0,33.0,747,2,1,1,2.0,2,1.0,1.0,0.53
0,82.0,510,3,3,0,2.0,0,1.0,0.0,0.42
1,0.0,1500,3,2,2,3.0,0,0.0,1.0,0.6
0,82.0,2520,4,4,0,3.0,0,0.0,0.0,3.0
1,78.0,1800,3,3,3,2.0,0,0.0,0.0,3.0
1,82.0,1935,3,4,3,3.0,2,1.0,1.0,2.32
1,14.0,405,1,1,1,0.0,0,0.0,0.0,0.36
1,8.0,2003,3,4,3,0.0,0,1.0,1.0,1.7
1,113.0,2266,4,4,3,0.0,0,1.0,1.0,1.18
0,20.0,3420,5,5,2,3.0,2,3.0,0.0,6.46
1,39.0,1920,3,4,3,3.0,0,1.0,1.0,1.55
1,81.0,4246,5,5,3,2.0,0,1.0,1.0,4.5
0,35.0,8829,4,3,2,0.0,2,0.0,0.0,4.0
0,34.0,2844,6,6,1,0.0,2,1.0,1.0,10.85
0,3.0,4000,4,3,3,4.0,0,0.0,1.0,3.25
0,66.0,2700,9,9,3,3.0,2,3.0,0.0,5.5
0,39.0,981,5,4,1,3.0,0,0.0,0.0,0.8
1,6.0,1100,2,2,3,2.0,2,1.0,1.0,0.97
1,87.0,2400,4,5,3,3.0,2,1.0,1.0,2.0
1,70.0,610,1,2,1,1.0,0,0.0,1.0,0.55
1,30.0,1860,3,3,3,0.0,2,1.0,1.0,2.55
1,81.0,2000,3,3,3,0.0,2,1.0,0.0,2.99
0,59.0,8100,4,4,3,3.0,2,1.0,0.0,2.4
0,74.0,1080,5,5,1,2.0,0,1.0,0.0,1.25
1,118.0,1997,3,5,3,2.0,0,2.0,1.0,1.35
1,43.0,1449,2,2,3,4.0,0,1.0,0.0,0.95
1,6.0,1403,4,6,3,0.0,0,1.0,1.0,1.4
0,39.0,1125,2,2,1,3.0,0,1.0,0.0,0.65
1,103.0,600,2,2,0,0.0,0,0.0,0.0,0.39
0,86.0,1350,5,3,3,1.0,0,3.0,0.0,2.3
0,64.0,3240,3,4,2,3.0,2,2.0,1.0,12.0
0,54.0,2367,9,9,3,3.0,2,2.0,1.0,5.0
1,84.0,1180,2,2,2,2.0,0,0.0,1.0,1.0
1,80.0,3000,3,3,3,0.0,2,1.0,1.0,5.0
1,7.0,1460,3,3,3,0.0,2,1.0,1.0,1.29
1,9.0,1750,3,3,3,0.0,0,1.0,1.0,1.4
1,87.0,1950,3,4,3,0.0,0,2.0,1.0,1.65
1,44.0,1010,3,2,3,2.0,0,0.0,1.0,1.0
1,76.0,2851,4,4,3,3.0,2,1.0,1.0,3.6
1,100.0,1877,3,3,3,0.0,2,1.0,1.0,1.28
1,62.0,2383,4,4,3,3.0,2,2.0,1.0,3.0
1,41.0,1650,3,2,2,3.0,1,1.0,1.0,1.2
1,33.0,3500,4,4,3,1.0,2,3.0,0.0,2.5
1,82.0,800,2,2,1,2.0,0,0.0,1.0,0.56
1,7.0,1366,2,2,3,0.0,0,1.0,1.0,0.75
0,88.0,2610,4,4,3,3.0,0,4.0,1.0,4.6
1,45.0,351,1,1,1,0.0,2,0.0,1.0,0.37
1,0.0,2800,4,4,3,2.0,0,1.0,0.0,1.75
0,64.0,3240,5,5,3,3.0,0,2.0,0.0,11.29
1,42.0,1492,2,2,2,2.0,0,1.0,1.0,1.2
0,81.0,3240,5,6,3,2.0,2,4.0,1.0,11.0
1,4.0,1411,3,2,2,2.0,0,0.0,0.0,1.35
1,94.0,1822,3,3,3,0.0,2,1.0,0.0,0.92
0,35.0,1783,5,5,2,0.0,0,1.0,0.0,7.0
1,81.0,2764,4,4,3,0.0,0,2.0,0.0,2.7
1,49.0,2191,4,3,3,0.0,2,0.0,1.0,1.65
1,118.0,687,2,2,1,0.0,0,0.0,0.0,0.32
1,43.0,1746,3,3,3,0.0,0,0.0,1.0,1.14
0,11.0,1400,5,4,3,1.0,0,1.0,0.0,2.5
1,102.0,1500,3,3,3,0.0,0,1.0,1.0,1.05
1,112.0,1574,4,3,3,0.0,0,4.0,1.0,1.75
1,42.0,1557,3,2,3,2.0,0,0.0,0.0,1.35
1,86.0,988,3,2,1,0.0,2,0.0,1.0,0.8
1,108.0,1915,3,3,0,4.0,0,0.0,1.0,0.9
1,42.0,623,2,2,2,4.0,0,0.0,0.0,0.4
1,8.0,1050,2,2,3,0.0,0,1.0,1.0,0.97
0,9.0,5400,4,4,3,0.0,0,1.0,1.0,6.25
0,6.0,1000,2,2,1,0.0,0,0.0,0.0,0.7
1,57.0,2450,4,4,3,3.0,0,1.0,0.0,2.5
1,104.0,1671,2,2,3,0.0,0,0.0,0.0,1.19
1,99.0,2103,3,3,3,0.0,1,1.0,0.0,2.28
1,80.0,3844,3,5,3,0.0,1,1.0,0.0,6.15
0,86.0,2628,4,4,3,1.0,0,0.0,0.0,3.85
