F/H,sector,price,total_area(sqft),bedRoom,bathroom,balcony,agePossession,furnishing_type,additional_room_count,luxury_cat
0,9,1.65,900,2,3,0,Old,0,0.0,Low
1,84,1.1,2265,3,3,2,New,0,0.0,Mid 
1,53,5.0,2895,3,4,3,New,2,3.0,Low
1,81,0.4,633,2,2,1,New,0,0.0,Low
1,102,2.12,1250,3,3,3,New,0,0.0,Mid 
1,28,2.2,1760,3,4,3,Relatively Old,1,1.0,Low
0,72,3.09,4426,5,5,3,New,2,1.0,Low
0,11,3.08,2700,6,4,2,New,0,0.0,Low
1,110,0.22,500,2,2,1,Relatively New,2,0.0,Low
1,69,1.36,1578,3,3,2,New,2,1.0,Low
0,12,1.35,1105,5,5,1,Old,0,0.0,Low
1,33,1.7,1789,3,3,3,Under Construction,0,0.0,Low
1,35,0.3,748,2,2,2,New,0,0.0,Low
1,41,2.75,1640,3,3,2,Old,1,0.0,Mid 
0,6,0.66,612,3,2,1,Old,0,0.0,Low
1,86,0.42,495,2,2,1,Relatively New,0,4.0,Mid 
1,99A,0.35,545,2,2,1,New,0,0.0,Mid 
0,49,6.75,4500,5,4,2,Relatively New,0,1.0,Low
0,26,20.0,4500,5,7,3,New,1,2.0,Mid 
0,57,3.8,1458,8,8,3,New,2,2.0,Mid 
1,92,0.49,998,2,2,2,New,0,0.0,Mid 
1,35,0.35,500,2,2,2,New,0,0.0,Low
1,35,0.88,791,2,2,2,New,1,0.0,Mid 
0,4,3.2,2250,3,3,2,Old,0,0.0,Low
0,51,5.5,50598,8,8,2,New,2,1.0,Low
1,85,0.69,1322,2,2,2,New,0,0.0,Low
0,48,7.25,2592,3,4,2,Relatively Old,2,4.0,Mid 
1,15,1.4,1300,4,3,3,Old,2,0.0,Mid 
1,102,0.45,535,2,2,1,New,1,0.0,Mid 
1,35,0.39,950,2,2,2,New,0,0.0,Low
1,104,2.55,2450,4,4,3,New,0,1.0,Low
1,84,1.01,1750,3,3,2,New,0,0.0,Low
1,23A,0.55,1100,2,2,1,Relatively Old,2,0.0,Low
1,86,1.3,1930,3,3,3,Relatively Old,0,2.0,Mid 
1,49,1.98,2182,3,4,3,Relatively Old,2,1.0,Mid 
0,26,17.3,4466,6,7,3,Relatively New,2,4.0,Mid 
0,14,4.5,2250,5,5,1,New,0,0.0,Low
1,36A,0.36,400,1,1,1,New,0,0.0,Mid 
1,65,2.65,1650,3,3,3,New,0,2.0,Low
1,95,0.96,1548,3,3,3,Relatively New,0,2.0,Low
1,81,0.5,735,2,2,3,New,0,0.0,Mid 
1,33,1.2,1000,2,2,3,Under Construction,0,0.0,Mid 
1,92,1.3,2040,4,4,0,New,0,0.0,Low
1,50,1.4,1376,3,3,2,New,2,1.0,Mid 
1,95,0.25,380,1,1,1,Relatively New,0,0.0,Low
1,69,1.9,2010,4,4,2,New,0,0.0,Low
0,6,0.5,360,5,3,3,Old,0,0.0,Low
1,79,0.78,1295,2,2,3,Relatively New,0,1.0,Mid 
1,92,1.25,2143,4,4,3,New,0,1.0,Mid 
1,43,6.0,3806,4,5,3,Old,0,0.0,Low
1,99A,1.3,1997,3,3,0,New,0,0.0,Low
1,85,1.2,1240,2,2,3,New,0,1.0,Mid 
1,39,2.0,3200,5,4,3,Old,1,1.0,Low
1,48,1.78,1776,3,4,2,New,0,2.0,Mid 
1,60,2.05,1350,2,3,2,New,2,1.0,Mid 
1,70A,1.8,1925,3,3,3,New,0,1.0,Mid 
1,26,6.0,2685,3,3,2,Relatively Old,0,1.0,Low
1,104,2.6,3150,4,4,3,New,0,1.0,Mid 
1,37C,1.44,1990,3,3,3,New,0,3.0,Low
1,3,0.4,900,3,2,1,New,0,0.0,Low
0,67,1.85,2250,3,3,3,Relatively Old,0,0.0,Low
1,69,0.75,1095,2,2,2,Under Construction,0,0.0,Low
0,12,1.1,1782,8,8,0,Relatively New,0,0.0,Low
1,104,2.65,3150,4,4,3,New,0,1.0,Low
1,77,1.79,2025,3,3,3,Relatively New,2,1.0,Low
1,35,0.21,484,1,1,0,New,0,0.0,Low
1,108,2.5,1711,3,3,2,Relatively New,0,0.0,Mid 
1,90,1.25,1200,3,3,3,Relatively Old,0,1.0,Mid 
1,82,1.6,2425,4,5,3,New,0,1.0,Mid 
0,12,1.2,846,4,4,2,New,2,1.0,Low
1,88A,0.95,1307,2,2,2,New,0,0.0,Mid 
1,33,0.95,1385,2,2,3,Under Construction,0,0.0,Low
1,35,0.9,951,2,2,2,New,1,0.0,Mid 
1,92,0.51,1250,3,2,2,New,0,0.0,Mid 
1,83,0.83,1245,2,2,2,New,0,1.0,Mid 
1,33,1.15,995,2,2,2,Under Construction,0,0.0,Low
1,35,0.32,554,2,2,2,New,2,0.0,Low
0,112,7.99,6382,4,6,3,Relatively New,2,3.0,Mid 
1,107,0.6,750,3,2,2,New,0,0.0,Mid 
1,36A,0.4,392,1,1,1,New,0,0.0,Low
1,70,1.1,1300,2,2,2,New,0,0.0,Mid 
1,61,1.6,1150,2,2,2,Under Construction,0,0.0,Low
1,52,0.29,250,1,1,0,Relatively Old,2,0.0,Low
1,35,1.1,1457,2,2,3,New,2,2.0,Low
1,49,2.7,2159,3,4,3,Relatively Old,0,0.0,Low
1,104,2.02,2500,4,3,1,Relatively New,0,0.0,Low
1,85,1.24,1741,2,2,3,New,0,0.0,Low
0,24,0.53,747,2,1,1,Relatively New,2,1.0,Mid 
0,67,0.42,510,3,3,0,Relatively New,0,1.0,Low
1,1,0.6,1500,3,2,2,Relatively Old,0,0.0,Mid 
0,67,3.0,2520,4,4,0,Relatively Old,0,0.0,Low
1,63,3.0,1800,3,3,3,Relatively New,0,0.0,Low
1,67,2.32,1935,3,4,3,Relatively Old,2,1.0,Mid 
1,111,0.36,405,1,1,1,New,0,0.0,Low
1,108,1.7,2003,3,4,3,New,0,1.0,Mid 
1,92,1.18,2266,4,4,3,New,0,1.0,Mid 
0,14,6.46,3420,5,5,2,Relatively Old,2,3.0,Low
1,3,1.55,1920,3,4,3,Relatively Old,0,1.0,Mid 
1,66,4.5,4246,5,5,3,Relatively New,0,1.0,Mid 
0,26,4.0,8829,4,3,2,New,2,0.0,Low
0,25,10.85,2844,6,6,1,New,2,1.0,Mid 
0,103,3.25,4000,4,3,3,Under Construction,0,0.0,Mid 
0,52,5.5,2700,9,9,3,Relatively Old,2,3.0,Low
0,3,0.8,981,5,4,1,Relatively Old,0,0.0,Low
1,106,0.97,1100,2,2,3,Relatively New,2,1.0,Mid 
1,70,2.0,2400,4,5,3,Relatively Old,2,1.0,Mid 
1,56,0.55,610,1,2,1,Old,0,0.0,Mid 
1,22,2.55,1860,3,3,3,New,2,1.0,Mid 
1,66,2.99,2000,3,3,3,New,2,1.0,Low
0,46,2.4,8100,4,4,3,Relatively Old,2,1.0,Low
0,6,1.25,1080,5,5,1,Relatively New,0,1.0,Low
1,99A,1.35,1997,3,5,3,Relatively New,0,2.0,Mid 
1,35,0.95,1449,2,2,3,Under Construction,0,1.0,Low
1,106,1.4,1403,4,6,3,New,0,1.0,Mid 
0,3,0.65,1125,2,2,1,Relatively Old,0,1.0,Low
1,84,0.39,600,2,2,0,New,0,0.0,Low
0,7,2.3,1350,5,3,3,Old,0,3.0,Low
0,50,12.0,3240,3,4,2,Relatively Old,2,2.0,Mid 
0,40,5.0,2367,9,9,3,Relatively Old,2,2.0,Mid 
1,68,1.0,1180,2,2,2,Relatively New,0,0.0,Mid 
1,65,5.0,3000,3,3,3,New,2,1.0,Mid 
1,107,1.29,1460,3,3,3,New,2,1.0,Mid 
1,109,1.4,1750,3,3,3,New,0,1.0,Mid 
1,70,1.65,1950,3,4,3,New,0,2.0,Mid 
1,36,1.0,1010,3,2,3,Relatively New,0,0.0,Mid 
1,61,3.6,2851,4,4,3,Relatively Old,2,1.0,Mid 
1,82,1.28,1877,3,3,3,New,2,1.0,Mid 
1,49,3.0,2383,4,4,3,Relatively Old,2,2.0,Mid 
1,31,1.2,1650,3,2,2,Relatively Old,1,1.0,Mid 
1,24,2.5,3500,4,4,3,Old,2,3.0,Low
1,67,0.56,800,2,2,1,Relatively New,0,0.0,Mid 
1,107,0.75,1366,2,2,3,New,0,1.0,Mid 
0,70A,4.6,2610,4,4,3,Relatively Old,0,4.0,Mid 
1,36A,0.37,351,1,1,1,New,2,0.0,Mid 
1,1,1.75,2800,4,4,3,Relatively New,0,1.0,Low
0,50,11.29,3240,5,5,3,Relatively Old,0,2.0,Low
1,33,1.2,1492,2,2,2,Relatively New,0,1.0,Mid 
0,66,11.0,3240,5,6,3,Relatively New,2,4.0,Mid 
1,104,1.35,1411,3,2,2,Relatively New,0,0.0,Low
1,77,0.92,1822,3,3,3,New,2,1.0,Low
0,26,7.0,1783,5,5,2,New,0,1.0,Low
1,66,2.7,2764,4,4,3,New,0,2.0,Low
1,37D,1.65,2191,4,3,3,New,2,0.0,Mid 
1,99A,0.32,687,2,2,1,New,0,0.0,Low
1,35,1.14,1746,3,3,3,New,0,0.0,Mid 
0,11,2.5,1400,5,4,3,Old,0,1.0,Low
1,83,1.05,1500,3,3,3,New,0,1.0,Mid 
1,91,1.75,1574,4,3,3,New,0,4.0,Mid 
1,33,1.35,1557,3,2,3,Relatively New,0,0.0,Low
1,7,0.8,988,3,2,1,New,2,0.0,Mid 
1,89,0.9,1915,3,3,0,Under Construction,0,0.0,Mid 
1,33,0.4,623,2,2,2,Under Construction,0,0.0,Low
1,108,0.97,1050,2,2,3,New,0,1.0,Mid 
0,109,6.25,5400,4,4,3,New,0,1.0,Mid 
0,106,0.7,1000,2,2,1,New,0,0.0,Low
1,43,2.5,2450,4,4,3,Relatively Old,0,1.0,Low
1,85,1.19,1671,2,2,3,New,0,0.0,Low
1,81,2.28,2103,3,3,3,New,1,1.0,Low
1,65,6.15,3844,3,5,3,New,1,1.0,Low
0,7,3.85,2628,4,4,3,Old,0,0.0,Low
1,85,0.55,950,2,2,2,New,0,1.0,Mid 
1,41,3.4,2900,4,4,3,Old,0,0.0,Low
1,74,1.57,1427,2,2,3,New,0,1.0,Mid 
0,53,4.65,2646,5,5,3,Relatively Old,2,0.0,Low
0,109,10.0,3600,4,5,3,Relatively New,2,4.0,Low
0,48,18.5,7000,4,4,1,Relatively Old,0,0.0,Low
1,37D,1.1,1295,3,3,2,Under Construction,0,0.0,Low
0,50,6.95,15479,3,3,1,Relatively Old,0,1.0,Mid 
1,63A,1.65,1081,2,2,2,Under Construction,0,0.0,Low
0,54,3.51,2844,4,4,3,Relatively New,0,1.0,Mid 
0,25,10.5,3618,5,5,3,Relatively Old,0,3.0,Low
1,109,2.3,2585,3,4,3,Relatively New,0,2.0,Mid 
1,103,0.8,1361,2,2,3,Relatively New,0,1.0,Mid 
1,108,3.75,2510,3,3,2,Relatively New,0,1.0,Mid 
1,79,1.12,1567,2,2,3,New,0,1.0,Low
1,109,1.5,2267,3,3,1,Relatively New,0,1.0,Low
1,102,2.5,3198,4,5,3,New,2,2.0,Mid 
1,48,3.45,1869,3,3,3,Relatively Old,0,0.0,Low
0,25,6.5,1800,4,4,3,Relatively Old,0,4.0,Mid 
1,95,0.45,980,2,2,1,New,0,1.0,Mid 
1,82,1.45,1800,4,3,0,New,0,0.0,Low
1,92,1.68,1520,3,4,3,New,2,1.0,Mid 
0,28,10.5,3240,5,6,3,Relatively New,2,3.0,Mid 
1,104,1.85,2290,3,3,3,New,0,1.0,Mid 
1,49,1.85,1749,3,3,1,Relatively Old,0,2.0,Mid 
1,56,1.37,1500,3,3,3,Old,0,1.0,Mid 
